               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.032757,            0.013856,           0.0013733,             0.92448,             0.95853,              0.9378,             0.50601,            0.028106,           0.0068948,            0.002267,           0.0076679,           0.0076679,           0.0076679
                  36,            0.032181,            0.013416,           0.0014239,             0.95777,             0.93338,             0.97862,             0.49372,            0.026779,            0.006921,          0.00043084,            0.007543,            0.007543,            0.007543
                  37,            0.033193,             0.01319,           0.0012837,             0.92603,             0.95014,             0.97163,             0.49579,            0.027765,           0.0068862,           0.0004829,            0.007416,            0.007416,            0.007416
                  38,            0.031949,            0.011294,           0.0010849,             0.98712,             0.96658,             0.98961,             0.55745,            0.025219,           0.0067357,           0.0008623,           0.0072872,           0.0072872,           0.0072872
                  39,            0.032164,            0.013022,           0.0010288,             0.97875,             0.95836,             0.97828,             0.53872,            0.027221,           0.0066683,          0.00043709,           0.0071566,           0.0071566,           0.0071566
                  40,            0.029846,            0.012105,          0.00078805,             0.98046,             0.97514,             0.99079,             0.54547,            0.026126,           0.0070013,          0.00042547,           0.0070243,           0.0070243,           0.0070243
                  41,            0.031677,            0.013416,          0.00099586,             0.93185,             0.95861,             0.95465,             0.54434,            0.025683,           0.0067466,          0.00049201,           0.0068906,           0.0068906,           0.0068906
                  42,            0.031468,            0.012908,          0.00091564,             0.90348,             0.96679,             0.97006,              0.5054,            0.027402,           0.0068643,          0.00039663,           0.0067555,           0.0067555,           0.0067555
                  43,            0.029503,             0.01073,           0.0006817,             0.95019,             0.97495,             0.98541,             0.54123,            0.026543,           0.0067652,          0.00035828,           0.0066191,           0.0066191,           0.0066191
                  44,            0.030929,            0.012559,          0.00070793,             0.94609,              0.9918,               0.987,             0.55025,            0.026193,           0.0068394,          0.00045579,           0.0064816,           0.0064816,           0.0064816
                  45,            0.030023,            0.012268,          0.00079858,             0.97341,              0.9666,             0.98764,              0.5321,            0.026469,           0.0066783,          0.00038215,           0.0063432,           0.0063432,           0.0063432
                  46,            0.029982,            0.011346,          0.00073107,             0.96077,             0.94179,              0.9679,             0.51055,            0.028439,           0.0070141,          0.00034765,            0.006204,            0.006204,            0.006204
                  47,              0.0288,            0.012627,          0.00091706,             0.94894,             0.97514,              0.9851,             0.53787,            0.027883,           0.0069563,           0.0005886,            0.006064,            0.006064,            0.006064
                  48,             0.02761,            0.011065,          0.00053786,             0.93419,              0.9668,             0.97478,             0.54665,            0.025733,           0.0069173,          0.00025653,           0.0059235,           0.0059235,           0.0059235
                  49,            0.028916,            0.011596,          0.00066039,             0.95171,             0.98335,             0.97462,             0.56006,             0.02561,           0.0066242,          0.00034758,           0.0057826,           0.0057826,           0.0057826
                  50,            0.028384,            0.012934,           0.0006617,             0.96724,             0.97721,             0.99256,             0.54737,            0.027452,           0.0067335,          0.00036474,           0.0056413,           0.0056413,           0.0056413
                  51,            0.027843,            0.012865,          0.00080339,             0.95917,             0.98346,             0.98836,             0.57198,            0.025798,           0.0067573,          0.00041863,              0.0055,              0.0055,              0.0055
                  52,            0.028216,            0.012778,          0.00046846,             0.94862,             0.95843,             0.96684,             0.54308,             0.02599,           0.0070779,          0.00035572,           0.0053587,           0.0053587,           0.0053587
                  53,            0.027783,             0.01145,          0.00077969,             0.96171,             0.98332,             0.98628,             0.53415,            0.026752,           0.0066735,          0.00031063,           0.0052174,           0.0052174,           0.0052174
                  54,            0.027765,            0.011496,          0.00052782,             0.92779,             0.98347,             0.97265,             0.55321,            0.025105,           0.0067306,          0.00022826,           0.0050765,           0.0050765,           0.0050765
                  55,            0.027976,            0.012325,          0.00052025,             0.93853,             0.97514,             0.97584,             0.54636,            0.025282,           0.0067338,           0.0002859,            0.004936,            0.004936,            0.004936
                  56,            0.026955,            0.010564,           0.0006539,             0.97902,              0.9668,             0.98072,             0.57582,            0.025937,            0.006605,          0.00034698,            0.004796,            0.004796,            0.004796
                  57,            0.026612,            0.011198,          0.00064762,             0.99932,             0.98343,             0.99053,             0.56125,            0.026532,           0.0066597,          0.00030748,           0.0046568,           0.0046568,           0.0046568
                  58,            0.027466,            0.011131,          0.00069153,             0.96579,              0.9918,             0.99061,             0.57821,            0.024846,           0.0066028,          0.00025977,           0.0045184,           0.0045184,           0.0045184
                  59,            0.026969,            0.012387,           0.0008583,              0.9624,             0.96673,             0.97406,             0.53809,            0.025614,           0.0065469,          0.00025697,           0.0043809,           0.0043809,           0.0043809
                  60,            0.026616,            0.010426,          0.00079157,             0.98971,             0.97502,             0.99302,             0.56768,            0.025253,           0.0064717,          0.00032798,           0.0042445,           0.0042445,           0.0042445
                  61,             0.02681,            0.011399,          0.00064994,             0.97721,             0.99164,             0.99045,             0.57069,            0.025435,           0.0066295,          0.00023893,           0.0041094,           0.0041094,           0.0041094
                  62,            0.026201,            0.010815,          0.00074926,             0.96751,             0.98575,             0.99193,             0.59753,            0.023847,           0.0065657,          0.00023685,           0.0039757,           0.0039757,           0.0039757
                  63,             0.02635,            0.010392,          0.00045266,             0.96658,             0.98347,             0.99132,             0.58889,            0.024841,           0.0063872,           0.0001822,           0.0038434,           0.0038434,           0.0038434
                  64,            0.026395,            0.012184,          0.00082911,             0.95681,             0.95014,             0.95331,             0.51607,            0.026506,           0.0065802,          0.00018388,           0.0037128,           0.0037128,           0.0037128
                  65,            0.026025,            0.011185,          0.00086976,             0.95723,              0.9833,             0.99087,             0.53927,            0.026705,           0.0065845,          0.00039249,            0.003584,            0.003584,            0.003584
                  66,            0.024821,            0.011187,          0.00053416,             0.95299,             0.98346,             0.97954,             0.57639,            0.024876,           0.0064709,          0.00025611,            0.003457,            0.003457,            0.003457
                  67,            0.026702,            0.010841,          0.00079715,             0.94866,             0.97514,             0.97286,             0.54536,            0.025589,           0.0068392,          0.00024051,           0.0033321,           0.0033321,           0.0033321
                  68,            0.025641,            0.011018,          0.00064657,             0.95134,             0.95571,             0.96754,             0.54539,            0.026728,           0.0065365,          0.00023528,           0.0032093,           0.0032093,           0.0032093
                  69,            0.024943,             0.01041,          0.00056645,             0.94855,              0.9668,             0.97304,             0.55953,            0.025552,           0.0063844,          0.00024545,           0.0030888,           0.0030888,           0.0030888
                  70,            0.025375,            0.010287,          0.00044466,             0.94158,             0.95847,             0.96756,             0.54439,            0.027038,           0.0066417,          0.00064461,           0.0029706,           0.0029706,           0.0029706
                  71,            0.024493,            0.010001,          0.00042379,             0.96711,             0.97275,             0.97977,             0.56116,            0.026247,           0.0066246,          0.00073985,            0.002855,            0.002855,            0.002855
                  72,            0.025293,            0.011353,          0.00062077,             0.96369,             0.97514,             0.97984,             0.58865,            0.024068,           0.0064097,          0.00012834,           0.0027419,           0.0027419,           0.0027419
                  73,             0.02492,            0.010665,          0.00099129,              0.9655,              0.9918,             0.99015,             0.58756,            0.024368,           0.0063493,          0.00015728,           0.0026316,           0.0026316,           0.0026316
                  74,            0.024501,            0.011125,          0.00048639,             0.96336,             0.98342,             0.98091,             0.58101,            0.024541,           0.0065665,          0.00020364,           0.0025241,           0.0025241,           0.0025241
                  75,             0.02373,           0.0093544,          0.00050036,             0.96144,             0.98344,             0.98027,             0.58733,            0.023886,           0.0064913,           0.0001738,           0.0024195,           0.0024195,           0.0024195
